1,Western Governors University,4001 South 700 East,Salt Lake City,UT,84107
2,International Peace Gardens,1060 Dalton Ave S,Salt Lake City,UT,84104
3,Sugar House Park,1330 2100 S,Salt Lake City,UT,84106
4,Taylorsville-Bennion Heritage City Gov Off,1488 4800 S,Salt Lake City,UT,84123
5,Salt Lake City Division of Health Services,177 W Price Ave,Salt Lake City,UT,84115
6,South Salt Lake Public Works,195 W Oakland Ave,Salt Lake City,UT,84115
7,Salt Lake City Streets and Sanitation,2010 W 500 S,Salt Lake City,UT,84104
8,Deker Lake,2300 Parkway Blvd,Salt Lake City,UT,84119
9,Salt Lake City Ottinger Hall,233 Canyon Rd,Salt Lake City,UT,84103
10,Columbus Library,2530 S 500 E,Salt Lake City,UT,84106
11,Taylorsville City Hall,2600 Taylorsville Blvd,Salt Lake City,UT,84118
12,South Salt Lake Police,2835 Main St,Salt Lake City,UT,84115
13,Council Hall,300 State St,Salt Lake City,UT,84103
14,Redwood Park,3060 Lester St,Salt Lake City,UT,84119
15,Salt Lake County Mental Health,3148 S 1100 W,Salt Lake City,UT,84119
16,Salt Lake County/United Police Dept,3365 S 900 W,Salt Lake City,UT,84119
17,West Valley Prosecutor,3575 W Valley Central Station Bus Loop,Salt Lake City,UT,84119
18,Housing Auth. of Salt Lake County,3595 Main St,Salt Lake City,UT,84115
19,Utah DMV Administrative Office,380 W 2880 S,Salt Lake City,UT,84115
20,Third District Juvenile Court,410 S State St,Salt Lake City,UT,84111
21,Cottonwood Regional Softball Complex,4300 S 1300 E,Salt Lake City,UT,84117
22,Holiday City Office,4580 S 2300 E,Salt Lake City,UT,84117
23,Murray City Museum,5025 State St,Salt Lake City,UT,84107
24,Valley Regional Softball Complex,5100 South 2700 West,Salt Lake City,UT,84118
25,City Center of Rock Springs,5383 S 900 East #104,Salt Lake City,UT,84117
26,Rice Terrace Pavilion Park,600 E 900 South,Salt Lake City,UT,84105
27,Wheeler Historic Farm,6351 South 900 East,Salt Lake City,UT,84121